# Label,Order,Size,Colour,x,y,Level 0,Level 1,Level 2
E1  0AA,,1,,535267,181084,E,  E1  ,   E1  0   
E1  0AB,,1,,535349,181185,E,  E1  ,   E1  0   
E1  0AE,,1,,535238,180880,E,  E1  ,   E1  0   
E1  0AF,,1,,535339,180906,E,  E1  ,   E1  0   
E1  0AG,,1,,535130,181180,E,  E1  ,   E1  0   
E1  0AH,,1,,535300,180930,E,  E1  ,   E1  0   
E1  0AJ,,1,,535223,180945,E,  E1  ,   E1  0   
E1  0AL,,1,,535242,180917,E,  E1  ,   E1  0   
E1  0AN,,1,,535252,180950,E,  E1  ,   E1  0   
E1  0AP,,1,,535297,180962,E,  E1  ,   E1  0   
E1  0AQ,,1,,535355,180983,E,  E1  ,   E1  0   
E1  0AR,,1,,535270,180984,E,  E1  ,   E1  0   
E1  0AS,,1,,535229,180980,E,  E1  ,   E1  0   
E1  0AT,,1,,535130,181180,E,  E1  ,   E1  0   
E1  0AU,,1,,535181,180950,E,  E1  ,   E1  0   
E1  0AW,,1,,535300,180930,E,  E1  ,   E1  0   
E1  0AX,,1,,535181,180950,E,  E1  ,   E1  0   
E1  0AY,,1,,535174,181124,E,  E1  ,   E1  0   
E1  0AZ,,1,,535112,181084,E,  E1  ,   E1  0   
E1  0BA,,1,,535146,181092,E,  E1  ,   E1  0   
E1  0BB,,1,,535155,181210,E,  E1  ,   E1  0   
E1  0BD,,1,,535206,181217,E,  E1  ,   E1  0   
E1  0BE,,1,,535326,181001,E,  E1  ,   E1  0   
E1  0BF,,1,,535130,181180,E,  E1  ,   E1  0   
E1  0BG,,1,,535229,181090,E,  E1  ,   E1  0   
E1  0BH,,1,,534686,180837,E,  E1  ,   E1  0   
E1  0BJ,,1,,534638,180809,E,  E1  ,   E1  0   
E1  0BL,,1,,534743,180897,E,  E1  ,   E1  0   
E1  0BN,,1,,535256,181027,E,  E1  ,   E1  0   
E1  0BP,,1,,534954,180816,E,  E1  ,   E1  0   
E1  0BQ,,1,,535077,180825,E,  E1  ,   E1  0   
E1  0BS,,1,,534976,180868,E,  E1  ,   E1  0   
E1  0BT,,1,,535003,180858,E,  E1  ,   E1  0   
E1  0BU,,1,,535007,180808,E,  E1  ,   E1  0   
E1  0BW,,1,,534948,180882,E,  E1  ,   E1  0   
E1  0BX,,1,,535007,180901,E,  E1  ,   E1  0   
E1  0BY,,1,,535077,180825,E,  E1  ,   E1  0   
E1  0BZ,,1,,535077,180825,E,  E1  ,   E1  0   
E1  0DA,,1,,534962,180820,E,  E1  ,   E1  0   
E1  0DB,,1,,535178,181072,E,  E1  ,   E1  0   
E1  0DE,,1,,534889,180904,E,  E1  ,   E1  0   
E1  0DF,,1,,534912,180817,E,  E1  ,   E1  0   
E1  0DG,,1,,534692,180858,E,  E1  ,   E1  0   
E1  0DH,,1,,534857,180871,E,  E1  ,   E1  0   
E1  0DN,,1,,535039,180834,E,  E1  ,   E1  0   
E1  0DP,,1,,535457,181179,E,  E1  ,   E1  0   
E1  0DR,,1,,534783,180857,E,  E1  ,   E1  0   
E1  0DS,,1,,535207,181129,E,  E1  ,   E1  0   
E1  0DT,,1,,535455,181123,E,  E1  ,   E1  0   
E1  0DU,,1,,535442,181096,E,  E1  ,   E1  0   
E1  0DW,,1,,534986,180785,E,  E1  ,   E1  0   
E1  0DZ,,1,,535380,180999,E,  E1  ,   E1  0   
E1  0EA,,1,,535485,181091,E,  E1  ,   E1  0   
E1  0EB,,1,,535380,180975,E,  E1  ,   E1  0   
E1  0ED,,1,,535252,180824,E,  E1  ,   E1  0   
E1  0EE,,1,,535252,180857,E,  E1  ,   E1  0   
E1  0EF,,1,,535495,181018,E,  E1  ,   E1  0   
E1  0EG,,1,,535496,181066,E,  E1  ,   E1  0   
E1  0EH,,1,,535119,180864,E,  E1  ,   E1  0   
E1  0EJ,,1,,535186,180814,E,  E1  ,   E1  0   
E1  0HA,,1,,535489,181226,E,  E1  ,   E1  0   
E1  0HF,,1,,535506,181221,E,  E1  ,   E1  0   
E1  0HJ,,1,,535993,181177,E,  E1  ,   E1  0   
E1  0HQ,,1,,535613,181215,E,  E1  ,   E1  0   
E1  0HR,,1,,535943,181122,E,  E1  ,   E1  0   
E1  0HS,,1,,535884,181131,E,  E1  ,   E1  0   
E1  0HX,,1,,535827,181157,E,  E1  ,   E1  0   
E1  0HY,,1,,535928,181148,E,  E1  ,   E1  0   
E1  0JB,,1,,535946,181139,E,  E1  ,   E1  0   
E1  0JG,,1,,535868,181014,E,  E1  ,   E1  0   
E1  0JH,,1,,535793,181016,E,  E1  ,   E1  0   
E1  0JJ,,1,,535778,181138,E,  E1  ,   E1  0   
E1  0JL,,1,,535786,181160,E,  E1  ,   E1  0   
E1  0JN,,1,,535655,181152,E,  E1  ,   E1  0   
E1  0JP,,1,,535772,181110,E,  E1  ,   E1  0   
E1  0JQ,,1,,535882,181061,E,  E1  ,   E1  0   
E1  0JR,,1,,535818,181032,E,  E1  ,   E1  0   
E1  0JS,,1,,535841,181031,E,  E1  ,   E1  0   
E1  0JW,,1,,535766,181018,E,  E1  ,   E1  0   
E1  0LA,,1,,535205,181287,E,  E1  ,   E1  0   
E1  0LB,,1,,535454,181196,E,  E1  ,   E1  0   
E1  0LD,,1,,535680,181143,E,  E1  ,   E1  0   
E1  0LE,,1,,535733,181145,E,  E1  ,   E1  0   
E1  0LG,,1,,535460,181195,E,  E1  ,   E1  0   
E1  0LH,,1,,535613,181069,E,  E1  ,   E1  0   
E1  0LJ,,1,,535706,181131,E,  E1  ,   E1  0   
E1  0LL,,1,,535589,181045,E,  E1  ,   E1  0   
E1  0LN,,1,,535623,180995,E,  E1  ,   E1  0   
E1  0LP,,1,,535546,181102,E,  E1  ,   E1  0   
E1  0LQ,,1,,535508,181175,E,  E1  ,   E1  0   
E1  0LR,,1,,535431,181200,E,  E1  ,   E1  0   
E1  0LS,,1,,535359,181214,E,  E1  ,   E1  0   
E1  0LT,,1,,535682,181030,E,  E1  ,   E1  0   
E1  0LW,,1,,535541,180987,E,  E1  ,   E1  0   
E1  0NA,,1,,535920,181398,E,  E1  ,   E1  0   
E1  0NB,,1,,535893,181283,E,  E1  ,   E1  0   
E1  0ND,,1,,536059,181242,E,  E1  ,   E1  0   
E1  0NE,,1,,536005,181168,E,  E1  ,   E1  0   
E1  0NF,,1,,536023,181290,E,  E1  ,   E1  0   
E1  0NG,,1,,535988,181326,E,  E1  ,   E1  0   
E1  0NJ,,1,,536043,181347,E,  E1  ,   E1  0   
E1  0NL,,1,,536050,181409,E,  E1  ,   E1  0   
E1  0NN,,1,,536031,181444,E,  E1  ,   E1  0   
E1  0NP,,1,,536040,181666,E,  E1  ,   E1  0   
E1  0NQ,,1,,536012,181401,E,  E1  ,   E1  0   
E1  0NR,,1,,535976,181591,E,  E1  ,   E1  0   
E1  0NS,,1,,535998,181202,E,  E1  ,   E1  0   
E1  0NT,,1,,536051,181367,E,  E1  ,   E1  0   
E1  0NU,,1,,535949,181348,E,  E1  ,   E1  0   
E1  0NW,,1,,536059,181625,E,  E1  ,   E1  0   
E1  0NX,,1,,535966,181440,E,  E1  ,   E1  0   
E1  0NY,,1,,536104,181646,E,  E1  ,   E1  0   
E1  0NZ,,1,,536106,181606,E,  E1  ,   E1  0   
E1  0PB,,1,,535459,181426,E,  E1  ,   E1  0   
E1  0PD,,1,,535354,181420,E,  E1  ,   E1  0   
E1  0PE,,1,,535383,181465,E,  E1  ,   E1  0   
E1  0PF,,1,,535357,181496,E,  E1  ,   E1  0   
E1  0PG,,1,,535281,181432,E,  E1  ,   E1  0   
E1  0PH,,1,,535326,181308,E,  E1  ,   E1  0   
E1  0PJ,,1,,535333,181377,E,  E1  ,   E1  0   
E1  0PL,,1,,535261,181412,E,  E1  ,   E1  0   
E1  0PN,,1,,535331,181342,E,  E1  ,   E1  0   
E1  0PP,,1,,535571,181362,E,  E1  ,   E1  0   
E1  0PQ,,1,,535486,181383,E,  E1  ,   E1  0   
E1  0PR,,1,,535630,181217,E,  E1  ,   E1  0   
E1  0PS,,1,,535575,181251,E,  E1  ,   E1  0   
